"Trait","Metric","Variable","Varimp","RF_id"
"NDVI","ED50","DHW_freq_sup4_1year",0.0873523659822884,1
"NDVI","ED50","DHW_collection",0.051467579746554,1
"NDVI","ED50","MMM",0.0352460062868566,1
"NDVI","ED50","DHW_freq_sup4",0.0224180571333597,1
"NDVI","ED50","Turbidity",0.0222779850316035,1
"NDVI","ED50","Health.score",0.0194393630663335,1
"NDVI","ED50","Velocity_OM",0.0150428751901795,1
"NDVI","ED50","Depth",0.010512543424684,1
"NDVI","ED50","AR",0.00955335760105235,1
"NDVI","ED50","TSA_DHW_stdev",0.00847616845671522,1
"NDVI","ED50","CF30a",0.0083588446166879,1
"NDVI","ED50","ROTC_ss",0.00698673357744067,1
"NDVI","ED50","DHW_freq_sup4_1year",0.0860251110493253,2
"NDVI","ED50","DHW_collection",0.0742185221981204,2
"NDVI","ED50","MMM",0.0610999067507504,2
"NDVI","ED50","Turbidity",0.0269090730169672,2
"NDVI","ED50","DHW_freq_sup4",0.0225173318286942,2
"NDVI","ED50","Depth",0.0183698455353562,2
"NDVI","ED50","TSA_DHW_stdev",0.0143773520847729,2
"NDVI","ED50","AR",0.0142070042595564,2
"NDVI","ED50","Velocity_OM",0.0127698875274192,2
"NDVI","ED50","CF30a",0.0103605395123995,2
"NDVI","ED50","Health.score",0.00909570927719867,2
"NDVI","ED50","ROTC_ss",0.00744217032942517,2
"NDVI","ED50","DHW_freq_sup4_1year",0.08891132499072,3
"NDVI","ED50","DHW_collection",0.0735396050197958,3
"NDVI","ED50","MMM",0.0531950138633885,3
"NDVI","ED50","DHW_freq_sup4",0.0221413630355496,3
"NDVI","ED50","Turbidity",0.0200441854836806,3
"NDVI","ED50","TSA_DHW_stdev",0.0138128940988926,3
"NDVI","ED50","AR",0.0133630636627023,3
"NDVI","ED50","Health.score",0.0126905942999129,3
"NDVI","ED50","CF30a",0.0123620623199494,3
"NDVI","ED50","Velocity_OM",0.00983141643096051,3
"NDVI","ED50","ROTC_ss",0.00899569046499174,3
"NDVI","ED50","Depth",0.00646239845027861,3
"NDVI","ED50","DHW_freq_sup4_1year",0.0837400120819134,4
"NDVI","ED50","DHW_collection",0.0604226522632952,4
"NDVI","ED50","MMM",0.027038910324165,4
"NDVI","ED50","DHW_freq_sup4",0.0242445167408262,4
"NDVI","ED50","Turbidity",0.0213896474171311,4
"NDVI","ED50","TSA_DHW_stdev",0.0129086924794432,4
"NDVI","ED50","Velocity_OM",0.0111116179641282,4
"NDVI","ED50","Health.score",0.0102765875789616,4
"NDVI","ED50","Depth",0.00942407220600336,4
"NDVI","ED50","CF30a",0.00849485141811991,4
"NDVI","ED50","ROTC_ss",0.00700144160632153,4
"NDVI","ED50","AR",0.00555272710488118,4
"NDVI","ED50","DHW_freq_sup4_1year",0.103248394742015,5
"NDVI","ED50","DHW_collection",0.0654850165750242,5
"NDVI","ED50","MMM",0.0448615023164896,5
"NDVI","ED50","Health.score",0.0223823160682203,5
"NDVI","ED50","Turbidity",0.0207317986718685,5
"NDVI","ED50","DHW_freq_sup4",0.0175823486445496,5
"NDVI","ED50","AR",0.0150171166116111,5
"NDVI","ED50","Velocity_OM",0.0146573308118993,5
"NDVI","ED50","Depth",0.0124899599547984,5
"NDVI","ED50","TSA_DHW_stdev",0.0120187617303881,5
"NDVI","ED50","CF30a",0.00823740388568271,5
"NDVI","ED50","ROTC_ss",0.00502528896388049,5
"NDVI","ED50","DHW_freq_sup4_1year",0.0741748682411112,6
"NDVI","ED50","DHW_collection",0.0536486821145927,6
"NDVI","ED50","MMM",0.0330121801501785,6
"NDVI","ED50","Turbidity",0.0219490074532674,6
"NDVI","ED50","DHW_freq_sup4",0.0202094676361083,6
"NDVI","ED50","TSA_DHW_stdev",0.00971172193113916,6
"NDVI","ED50","Depth",0.00891669166055838,6
"NDVI","ED50","Health.score",0.0079470445359408,6
"NDVI","ED50","CF30a",0.00626683168319226,6
"NDVI","ED50","Velocity_OM",0.00586862700146166,6
"NDVI","ED50","AR",0.0055334012158338,6
"NDVI","ED50","ROTC_ss",0.00495737136051762,6
"NDVI","ED50","DHW_freq_sup4_1year",0.0784770214513289,7
"NDVI","ED50","DHW_collection",0.050463709352175,7
"NDVI","ED50","MMM",0.0389865649998512,7
"NDVI","ED50","Turbidity",0.0159981158350418,7
"NDVI","ED50","DHW_freq_sup4",0.0127766379194992,7
"NDVI","ED50","AR",0.00939467464977498,7
"NDVI","ED50","Velocity_OM",0.00894986993428028,7
"NDVI","ED50","CF30a",0.0086563265044054,7
"NDVI","ED50","Health.score",0.00746658823617661,7
"NDVI","ED50","TSA_DHW_stdev",0.00721722458730665,7
"NDVI","ED50","Depth",0.0045633366764482,7
"NDVI","ED50","ROTC_ss",0.00342678550698293,7
"NDVI","ED50","DHW_freq_sup4_1year",0.0842841654608683,8
"NDVI","ED50","DHW_collection",0.0677300571095058,8
"NDVI","ED50","MMM",0.0470330305975033,8
"NDVI","ED50","DHW_freq_sup4",0.027135829071702,8
"NDVI","ED50","Turbidity",0.0250557933120653,8
"NDVI","ED50","Health.score",0.0209489425538358,8
"NDVI","ED50","TSA_DHW_stdev",0.0138244470255475,8
"NDVI","ED50","AR",0.0102454722194504,8
"NDVI","ED50","Velocity_OM",0.00866728765357822,8
"NDVI","ED50","Depth",0.00819864177678759,8
"NDVI","ED50","CF30a",0.00775065704695267,8
"NDVI","ED50","ROTC_ss",0.00581280837017538,8
"NDVI","ED50","DHW_freq_sup4_1year",0.0876996903607433,9
"NDVI","ED50","DHW_collection",0.0780735603064953,9
"NDVI","ED50","MMM",0.0369684537007681,9
"NDVI","ED50","Health.score",0.0298849567536204,9
"NDVI","ED50","DHW_freq_sup4",0.0217701030903571,9
"NDVI","ED50","Turbidity",0.0189417233781882,9
"NDVI","ED50","TSA_DHW_stdev",0.0144774789697042,9
"NDVI","ED50","Velocity_OM",0.00882937790470479,9
"NDVI","ED50","CF30a",0.00847229564956039,9
"NDVI","ED50","AR",0.0080897081090917,9
"NDVI","ED50","ROTC_ss",0.00647318377351241,9
"NDVI","ED50","Depth",0.00555099856613926,9
"NDVI","ED50","DHW_freq_sup4_1year",0.0971930510506004,10
"NDVI","ED50","DHW_collection",0.0775506177459741,10
"NDVI","ED50","MMM",0.057161364710601,10
"NDVI","ED50","Turbidity",0.0295261015063982,10
"NDVI","ED50","Depth",0.019537822874286,10
"NDVI","ED50","DHW_freq_sup4",0.0187024255238488,10
"NDVI","ED50","Velocity_OM",0.0178572894083594,10
"NDVI","ED50","TSA_DHW_stdev",0.0120629245099835,10
"NDVI","ED50","Health.score",0.0113302847498923,10
"NDVI","ED50","ROTC_ss",0.0102797963289518,10
"NDVI","ED50","AR",0.00966664971777725,10
"NDVI","ED50","CF30a",0.00916297593603196,10
"FvFm","ED50","MMM",0.256765975759118,1
"FvFm","ED50","DHW_collection",0.179884369689035,1
"FvFm","ED50","TSA_DHW_stdev",0.077549271296813,1
"FvFm","ED50","DHW_freq_sup4",0.0737885693246505,1
"FvFm","ED50","CF30a",0.0583102155844339,1
"FvFm","ED50","Velocity_OM",0.0557447718746758,1
"FvFm","ED50","AR",0.0511486687001533,1
"FvFm","ED50","ROTC_ss",0.0502006957484155,1
"FvFm","ED50","Depth",0.0498091334035571,1
"FvFm","ED50","Turbidity",0.0404504413652609,1
"FvFm","ED50","DHW_freq_sup4_1year",0.0134517899922247,1
"FvFm","ED50","Health.score",0.00291767639847479,1
"FvFm","ED50","MMM",0.212413170507035,2
"FvFm","ED50","DHW_collection",0.173120888063192,2
"FvFm","ED50","TSA_DHW_stdev",0.118691875837363,2
"FvFm","ED50","DHW_freq_sup4",0.117101530620377,2
"FvFm","ED50","ROTC_ss",0.0442309051654088,2
"FvFm","ED50","CF30a",0.0438263607101176,2
"FvFm","ED50","Velocity_OM",0.0354904598164017,2
"FvFm","ED50","AR",0.0346681098303552,2
"FvFm","ED50","Depth",0.034630566670298,2
"FvFm","ED50","Turbidity",0.0308875299098764,2
"FvFm","ED50","DHW_freq_sup4_1year",0.0152087862564864,2
"FvFm","ED50","Health.score",0.00130238704972514,2
"FvFm","ED50","MMM",0.256997679474054,3
"FvFm","ED50","DHW_collection",0.194372207383947,3
"FvFm","ED50","DHW_freq_sup4",0.107379172916069,3
"FvFm","ED50","TSA_DHW_stdev",0.101934315640016,3
"FvFm","ED50","AR",0.0510260385560833,3
"FvFm","ED50","Velocity_OM",0.0502564659901483,3
"FvFm","ED50","CF30a",0.0469408465176738,3
"FvFm","ED50","ROTC_ss",0.0453655020895425,3
"FvFm","ED50","Depth",0.0398447628234635,3
"FvFm","ED50","Turbidity",0.03706749788547,3
"FvFm","ED50","DHW_freq_sup4_1year",0.0110073533227871,3
"FvFm","ED50","Health.score",0.00665892285871813,3
"FvFm","ED50","MMM",0.210262854410166,4
"FvFm","ED50","DHW_collection",0.184495809316365,4
"FvFm","ED50","DHW_freq_sup4",0.0830448517473603,4
"FvFm","ED50","TSA_DHW_stdev",0.0770993282206663,4
"FvFm","ED50","AR",0.0489802126158091,4
"FvFm","ED50","Depth",0.045421497819542,4
"FvFm","ED50","ROTC_ss",0.0447856986388658,4
"FvFm","ED50","Velocity_OM",0.0406660512024794,4
"FvFm","ED50","CF30a",0.0361009174307375,4
"FvFm","ED50","Turbidity",0.0285566416630621,4
"FvFm","ED50","DHW_freq_sup4_1year",0.0128438413929147,4
"FvFm","ED50","Health.score",0.00386849659835067,4
"FvFm","ED50","DHW_collection",0.232509202734788,5
"FvFm","ED50","MMM",0.213305508173217,5
"FvFm","ED50","TSA_DHW_stdev",0.0831735453721573,5
"FvFm","ED50","DHW_freq_sup4",0.078871409245792,5
"FvFm","ED50","Depth",0.0540203882821891,5
"FvFm","ED50","Velocity_OM",0.0535436804839129,5
"FvFm","ED50","CF30a",0.0514452291489209,5
"FvFm","ED50","AR",0.0474628855982246,5
"FvFm","ED50","ROTC_ss",0.0409522095698805,5
"FvFm","ED50","Turbidity",0.0370312813253978,5
"FvFm","ED50","DHW_freq_sup4_1year",0.0180191282256186,5
"FvFm","ED50","Health.score",0.00232797460584045,5
"FvFm","ED50","MMM",0.226377379570097,6
"FvFm","ED50","DHW_collection",0.193760513611021,6
"FvFm","ED50","DHW_freq_sup4",0.0971154313916785,6
"FvFm","ED50","TSA_DHW_stdev",0.0970883414686478,6
"FvFm","ED50","CF30a",0.050965336285747,6
"FvFm","ED50","AR",0.0448077950235133,6
"FvFm","ED50","Depth",0.0438218515372608,6
"FvFm","ED50","Velocity_OM",0.0391142057527948,6
"FvFm","ED50","Turbidity",0.0360266697183238,6
"FvFm","ED50","ROTC_ss",0.0346342469042416,6
"FvFm","ED50","DHW_freq_sup4_1year",0.014200824886493,6
"FvFm","ED50","Health.score",0.00584269453445601,6
"FvFm","ED50","MMM",0.225850125756869,7
"FvFm","ED50","DHW_collection",0.183165130010221,7
"FvFm","ED50","DHW_freq_sup4",0.124827702349862,7
"FvFm","ED50","TSA_DHW_stdev",0.110514397871592,7
"FvFm","ED50","CF30a",0.062682474669305,7
"FvFm","ED50","Depth",0.0454836948543869,7
"FvFm","ED50","ROTC_ss",0.0398168085595866,7
"FvFm","ED50","AR",0.0384669072019671,7
"FvFm","ED50","Velocity_OM",0.0332177080125913,7
"FvFm","ED50","Turbidity",0.0322246809739899,7
"FvFm","ED50","DHW_freq_sup4_1year",0.0185199735005517,7
"FvFm","ED50","Health.score",0.00280447567260941,7
"FvFm","ED50","MMM",0.261586583060431,8
"FvFm","ED50","DHW_collection",0.189148232098451,8
"FvFm","ED50","TSA_DHW_stdev",0.0929130781721656,8
"FvFm","ED50","DHW_freq_sup4",0.077442100215977,8
"FvFm","ED50","CF30a",0.0629884632640254,8
"FvFm","ED50","Depth",0.0559529067340742,8
"FvFm","ED50","ROTC_ss",0.0513169493598082,8
"FvFm","ED50","AR",0.0507973460233042,8
"FvFm","ED50","Velocity_OM",0.0501149625026729,8
"FvFm","ED50","Turbidity",0.0401332894956585,8
"FvFm","ED50","DHW_freq_sup4_1year",0.0157150585360402,8
"FvFm","ED50","Health.score",-0.00314550628257759,8
"FvFm","ED50","MMM",0.257299835969746,9
"FvFm","ED50","DHW_collection",0.180751231696119,9
"FvFm","ED50","CF30a",0.0860267844121206,9
"FvFm","ED50","TSA_DHW_stdev",0.0728785272814107,9
"FvFm","ED50","DHW_freq_sup4",0.0669961562653972,9
"FvFm","ED50","AR",0.0605503880817837,9
"FvFm","ED50","ROTC_ss",0.0540483561712472,9
"FvFm","ED50","Depth",0.0512649477627506,9
"FvFm","ED50","Turbidity",0.0484350388181249,9
"FvFm","ED50","Velocity_OM",0.0482213440799065,9
"FvFm","ED50","DHW_freq_sup4_1year",0.0175135528803216,9
"FvFm","ED50","Health.score",0.00604175501907286,9
"FvFm","ED50","MMM",0.197415808161884,10
"FvFm","ED50","DHW_collection",0.172443631256561,10
"FvFm","ED50","DHW_freq_sup4",0.0629722012023741,10
"FvFm","ED50","TSA_DHW_stdev",0.0612810142574621,10
"FvFm","ED50","CF30a",0.0574608064107891,10
"FvFm","ED50","AR",0.0475689349412114,10
"FvFm","ED50","Depth",0.0415259177554758,10
"FvFm","ED50","ROTC_ss",0.0396913844395309,10
"FvFm","ED50","Turbidity",0.0322929768567312,10
"FvFm","ED50","Velocity_OM",0.031736148375776,10
"FvFm","ED50","DHW_freq_sup4_1year",0.012902940221888,10
"FvFm","ED50","Health.score",0.00730680028093764,10
