"term","estimate","Trait_metric","k"
"TSA_DHW_stdev",-0.0140514330219757,"NDVI_Ratio",18
"ROTC_ss",0.0138345543550618,"NDVI_Ratio",18
"CF30a",0.00782391777603532,"NDVI_Ratio",18
"Turbidity",0.00377629933772309,"NDVI_Ratio",18
"DHW_freq_sup4",0.00331018858422174,"NDVI_Ratio",18
"DHW_freq_sup4_1year",0.00245959675390369,"NDVI_Ratio",18
"Health.score",0.00202833877868224,"NDVI_Ratio",18
"(Intercept)",0.286712707626942,"NDVI_Ratio",19
"MMM",-0.0534336523205495,"NDVI_Ratio",19
"DHW_collection",-0.045367845239872,"NDVI_Ratio",19
"AR",-0.0373522422505418,"NDVI_Ratio",19
"ROTC_ss",0.019621052025255,"NDVI_Ratio",19
"Velocity_OM",0.0172901663475465,"NDVI_Ratio",19
"Depth",-0.0145250679638148,"NDVI_Ratio",19
"TSA_DHW_stdev",-0.0129415941320841,"NDVI_Ratio",19
"Health.score",0.00893893633198866,"NDVI_Ratio",19
"CF30a",0.00786948545848241,"NDVI_Ratio",19
"Turbidity",0.00457737998561949,"NDVI_Ratio",19
"DHW_freq_sup4_1year",0.00200579779287414,"NDVI_Ratio",19
"DHW_freq_sup4",-0.00102911665825164,"NDVI_Ratio",19
"(Intercept)",0.28401935761619,"NDVI_Ratio",20
"MMM",-0.0568184939793817,"NDVI_Ratio",20
"DHW_collection",-0.0472249236311753,"NDVI_Ratio",20
"AR",-0.0408332668603839,"NDVI_Ratio",20
"ROTC_ss",0.0219987431636247,"NDVI_Ratio",20
"Velocity_OM",0.0209220552482497,"NDVI_Ratio",20
"TSA_DHW_stdev",-0.0205817221416476,"NDVI_Ratio",20
"Depth",-0.0135568926747199,"NDVI_Ratio",20
"DHW_freq_sup4",0.00548446399164205,"NDVI_Ratio",20
"CF30a",0.00534162297695837,"NDVI_Ratio",20
"DHW_freq_sup4_1year",0.00505370408425878,"NDVI_Ratio",20
"Health.score",0.00354507635175618,"NDVI_Ratio",20
"Turbidity",-0.00120392597145048,"NDVI_Ratio",20
"(Intercept)",0.285088950624677,"NDVI_Ratio",21
"MMM",-0.0480036328329332,"NDVI_Ratio",21
"DHW_collection",-0.042083238917529,"NDVI_Ratio",21
"AR",-0.0341819820512884,"NDVI_Ratio",21
"Depth",-0.0154400487524572,"NDVI_Ratio",21
"TSA_DHW_stdev",-0.0137505775399422,"NDVI_Ratio",21
"Velocity_OM",0.0129397664579099,"NDVI_Ratio",21
"ROTC_ss",0.0128491016176594,"NDVI_Ratio",21
"CF30a",0.0101835946272957,"NDVI_Ratio",21
"Turbidity",0.00375866092550184,"NDVI_Ratio",21
"DHW_freq_sup4",0.00355766584678482,"NDVI_Ratio",21
"Health.score",0.00213585290612253,"NDVI_Ratio",21
"DHW_freq_sup4_1year",0.000679133686296559,"NDVI_Ratio",21
"(Intercept)",0.280962227138201,"NDVI_Ratio",22
"MMM",-0.0451554731935262,"NDVI_Ratio",22
"DHW_collection",-0.0394292881826042,"NDVI_Ratio",22
"AR",-0.0330072976011227,"NDVI_Ratio",22
"TSA_DHW_stdev",-0.0142576306574676,"NDVI_Ratio",22
"Depth",-0.0131118612080355,"NDVI_Ratio",22
"ROTC_ss",0.0115448858883165,"NDVI_Ratio",22
"Velocity_OM",0.0108485189532263,"NDVI_Ratio",22
"CF30a",0.00956420559231176,"NDVI_Ratio",22
"Health.score",0.00398600896632399,"NDVI_Ratio",22
"DHW_freq_sup4",0.00324740510555056,"NDVI_Ratio",22
"Turbidity",0.00249160151790501,"NDVI_Ratio",22
"DHW_freq_sup4_1year",0.00131235688720121,"NDVI_Ratio",22
"(Intercept)",0.286851942129942,"NDVI_Ratio",23
"MMM",-0.0543760506287527,"NDVI_Ratio",23
"DHW_collection",-0.043671448030362,"NDVI_Ratio",23
"AR",-0.0378166244411118,"NDVI_Ratio",23
"ROTC_ss",0.0175333024162107,"NDVI_Ratio",23
"Velocity_OM",0.0158977935879593,"NDVI_Ratio",23
"TSA_DHW_stdev",-0.0153436483126202,"NDVI_Ratio",23
"Depth",-0.0148831510140259,"NDVI_Ratio",23
"Health.score",0.00896561077121815,"NDVI_Ratio",23
"CF30a",0.00794190725093226,"NDVI_Ratio",23
"Turbidity",0.00320953779609917,"NDVI_Ratio",23
"DHW_freq_sup4_1year",0.00202908635958668,"NDVI_Ratio",23
"DHW_freq_sup4",0.00122918626051088,"NDVI_Ratio",23
"(Intercept)",0.287065724153918,"NDVI_Ratio",24
"MMM",-0.0513351836265967,"NDVI_Ratio",24
"DHW_collection",-0.0428028226017449,"NDVI_Ratio",24
"AR",-0.0361793672974901,"NDVI_Ratio",24
"Velocity_OM",0.0195788939244831,"NDVI_Ratio",24
"TSA_DHW_stdev",-0.0173981041305387,"NDVI_Ratio",24
"ROTC_ss",0.0160761529709835,"NDVI_Ratio",24
"Depth",-0.0158902985808518,"NDVI_Ratio",24
"CF30a",0.0106474735646376,"NDVI_Ratio",24
"Health.score",0.00723862234551389,"NDVI_Ratio",24
"DHW_freq_sup4_1year",0.00431482377214226,"NDVI_Ratio",24
"DHW_freq_sup4",0.00293596990062978,"NDVI_Ratio",24
"Turbidity",0.00135091564369667,"NDVI_Ratio",24
"(Intercept)",0.287539440014244,"NDVI_Ratio",25
"MMM",-0.0486399561873491,"NDVI_Ratio",25
"DHW_collection",-0.0419623544493491,"NDVI_Ratio",25
"AR",-0.0352969668677829,"NDVI_Ratio",25
"TSA_DHW_stdev",-0.014907954288957,"NDVI_Ratio",25
"ROTC_ss",0.0139506431709523,"NDVI_Ratio",25
"Velocity_OM",0.0132164449096828,"NDVI_Ratio",25
"Depth",-0.0115967977552098,"NDVI_Ratio",25
"CF30a",0.0100067547132703,"NDVI_Ratio",25
"Health.score",0.00480244276871686,"NDVI_Ratio",25
"DHW_freq_sup4_1year",0.00382541776940928,"NDVI_Ratio",25
"Turbidity",0.00313938665852638,"NDVI_Ratio",25
"DHW_freq_sup4",-0.00088358841239389,"NDVI_Ratio",25
"(Intercept)",0.283668521434175,"NDVI_Ratio",26
"MMM",-0.0443875582910853,"NDVI_Ratio",26
"DHW_collection",-0.0386731730572161,"NDVI_Ratio",26
"AR",-0.032073825670403,"NDVI_Ratio",26
"TSA_DHW_stdev",-0.0143871116659999,"NDVI_Ratio",26
"Depth",-0.0135217314083541,"NDVI_Ratio",26
"ROTC_ss",0.0106712824508347,"NDVI_Ratio",26
"CF30a",0.0103391903913054,"NDVI_Ratio",26
"Velocity_OM",0.0093848435037711,"NDVI_Ratio",26
"Health.score",0.00861196982514301,"NDVI_Ratio",26
"DHW_freq_sup4",0.00253731081718609,"NDVI_Ratio",26
"Turbidity",0.00197352935244652,"NDVI_Ratio",26
"DHW_freq_sup4_1year",0.00107224856242714,"NDVI_Ratio",26
"(Intercept)",0.285747124568245,"NDVI_Ratio",27
"MMM",-0.0491700128225094,"NDVI_Ratio",27
"DHW_collection",-0.0412766421166403,"NDVI_Ratio",27
"AR",-0.0337302863153965,"NDVI_Ratio",27
"Depth",-0.0156357938210571,"NDVI_Ratio",27
"TSA_DHW_stdev",-0.0150532415500049,"NDVI_Ratio",27
"Velocity_OM",0.0149986534648923,"NDVI_Ratio",27
"ROTC_ss",0.0146711675504958,"NDVI_Ratio",27
"CF30a",0.00924038038000291,"NDVI_Ratio",27
"Health.score",0.00690476078802623,"NDVI_Ratio",27
"Turbidity",0.00405101388421468,"NDVI_Ratio",27
"DHW_freq_sup4_1year",0.00146518949236028,"NDVI_Ratio",27
"DHW_freq_sup4",0.000447465182475171,"NDVI_Ratio",27
"(Intercept)",0.284766535108946,"NDVI_Ratio",28
"MMM",-0.045142059181129,"NDVI_Ratio",28
"DHW_collection",-0.0387463012697832,"NDVI_Ratio",28
"AR",-0.0321096939909549,"NDVI_Ratio",28
"Depth",-0.014773556507541,"NDVI_Ratio",28
"Velocity_OM",0.0127632959292517,"NDVI_Ratio",28
"ROTC_ss",0.0120551203260579,"NDVI_Ratio",28
"TSA_DHW_stdev",-0.0120138430605471,"NDVI_Ratio",28
"CF30a",0.00741510067597909,"NDVI_Ratio",28
"Health.score",0.00674682699916841,"NDVI_Ratio",28
"Turbidity",0.00313489854633573,"NDVI_Ratio",28
"DHW_freq_sup4",0.0019370966746553,"NDVI_Ratio",28
"DHW_freq_sup4_1year",0.00185495505578866,"NDVI_Ratio",28
"(Intercept)",0.285204111627421,"NDVI_Ratio",29
"MMM",-0.0484626098204872,"NDVI_Ratio",29
"DHW_collection",-0.041090364992424,"NDVI_Ratio",29
"AR",-0.0343370130200446,"NDVI_Ratio",29
"Depth",-0.0177848770985201,"NDVI_Ratio",29
"ROTC_ss",0.015346424321049,"NDVI_Ratio",29
"Velocity_OM",0.0135579757518183,"NDVI_Ratio",29
"TSA_DHW_stdev",-0.0134416081160961,"NDVI_Ratio",29
"CF30a",0.00942882089618746,"NDVI_Ratio",29
"Health.score",0.00480133176044499,"NDVI_Ratio",29
"Turbidity",0.00327603972224351,"NDVI_Ratio",29
"DHW_freq_sup4",0.00243387009689892,"NDVI_Ratio",29
"DHW_freq_sup4_1year",0.00089724318039952,"NDVI_Ratio",29
"(Intercept)",0.285460363861983,"NDVI_Ratio",30
"MMM",-0.051909381978489,"NDVI_Ratio",30
"DHW_collection",-0.04320049521292,"NDVI_Ratio",30
"AR",-0.0363096186368217,"NDVI_Ratio",30
"TSA_DHW_stdev",-0.018978220230158,"NDVI_Ratio",30
"Velocity_OM",0.0181467807352597,"NDVI_Ratio",30
"ROTC_ss",0.0153333780582035,"NDVI_Ratio",30
"Depth",-0.0140907027009046,"NDVI_Ratio",30
"CF30a",0.00921986709169471,"NDVI_Ratio",30
"Health.score",0.0066232847705712,"NDVI_Ratio",30
"Turbidity",0.00425762040469431,"NDVI_Ratio",30
"DHW_freq_sup4_1year",0.00356157626901905,"NDVI_Ratio",30
"DHW_freq_sup4",0.00202797464165651,"NDVI_Ratio",30
"(Intercept)",0.286008465771921,"NDVI_Ratio",31
"MMM",-0.0480512876726748,"NDVI_Ratio",31
"DHW_collection",-0.0402884646413763,"NDVI_Ratio",31
"AR",-0.0375533889883069,"NDVI_Ratio",31
"Depth",-0.016898655592361,"NDVI_Ratio",31
"TSA_DHW_stdev",-0.0148424796746542,"NDVI_Ratio",31
"Velocity_OM",0.0132038440049169,"NDVI_Ratio",31
"ROTC_ss",0.0101378113237975,"NDVI_Ratio",31
"CF30a",0.0099824865398896,"NDVI_Ratio",31
"DHW_freq_sup4",0.00368291172798267,"NDVI_Ratio",31
"Turbidity",0.00342537286281135,"NDVI_Ratio",31
"DHW_freq_sup4_1year",0.0018525024137979,"NDVI_Ratio",31
"Health.score",0.00108645469991277,"NDVI_Ratio",31
"(Intercept)",0.285983132390335,"NDVI_Ratio",32
"MMM",-0.0491993418139932,"NDVI_Ratio",32
"DHW_collection",-0.0422221757832923,"NDVI_Ratio",32
"AR",-0.0366771837390078,"NDVI_Ratio",32
"TSA_DHW_stdev",-0.0160562137899719,"NDVI_Ratio",32
"Velocity_OM",0.0147218282265633,"NDVI_Ratio",32
"Depth",-0.0142605591053992,"NDVI_Ratio",32
"CF30a",0.0113474680323014,"NDVI_Ratio",32
"ROTC_ss",0.0110312618329862,"NDVI_Ratio",32
"Health.score",0.00680479516633385,"NDVI_Ratio",32
"Turbidity",0.00521979467279148,"NDVI_Ratio",32
"DHW_freq_sup4_1year",0.000954087726045416,"NDVI_Ratio",32
"DHW_freq_sup4",0.000816614457324629,"NDVI_Ratio",32
"(Intercept)",0.290717397135788,"NDVI_Ratio",33
"MMM",-0.045665636045211,"NDVI_Ratio",33
"DHW_collection",-0.039617630641136,"NDVI_Ratio",33
"AR",-0.0333759198407038,"NDVI_Ratio",33
"Depth",-0.0162234823302336,"NDVI_Ratio",33
"TSA_DHW_stdev",-0.0125789621273486,"NDVI_Ratio",33
"ROTC_ss",0.00940053689894965,"NDVI_Ratio",33
"Velocity_OM",0.00937459943363068,"NDVI_Ratio",33
"CF30a",0.00836513538012039,"NDVI_Ratio",33
"Health.score",0.00500391840841861,"NDVI_Ratio",33
"Turbidity",0.00363138457939866,"NDVI_Ratio",33
"DHW_freq_sup4",0.00178710809493572,"NDVI_Ratio",33
"DHW_freq_sup4_1year",0.000747497403921783,"NDVI_Ratio",33
"(Intercept)",0.281619687472579,"NDVI_Ratio",34
"MMM",-0.0468517908486223,"NDVI_Ratio",34
"DHW_collection",-0.0395945691521998,"NDVI_Ratio",34
"AR",-0.0345711894367435,"NDVI_Ratio",34
"TSA_DHW_stdev",-0.0158014600656739,"NDVI_Ratio",34
"Depth",-0.014587295615909,"NDVI_Ratio",34
"Velocity_OM",0.0131772171999487,"NDVI_Ratio",34
"ROTC_ss",0.0105654176123759,"NDVI_Ratio",34
"CF30a",0.00770258746742121,"NDVI_Ratio",34
"Health.score",0.00598534880019678,"NDVI_Ratio",34
"Turbidity",0.00390797514348329,"NDVI_Ratio",34
"DHW_freq_sup4_1year",0.00212100643418313,"NDVI_Ratio",34
"DHW_freq_sup4",0.000968081996303323,"NDVI_Ratio",34
"(Intercept)",0.290356122262432,"NDVI_Ratio",35
"MMM",-0.0472658722662389,"NDVI_Ratio",35
"DHW_collection",-0.0407661153747497,"NDVI_Ratio",35
"AR",-0.0350640836052604,"NDVI_Ratio",35
"TSA_DHW_stdev",-0.0144187343770307,"NDVI_Ratio",35
"Depth",-0.0137497251623699,"NDVI_Ratio",35
"Velocity_OM",0.0107280247578095,"NDVI_Ratio",35
"ROTC_ss",0.00977139519106808,"NDVI_Ratio",35
"CF30a",0.00946438591613224,"NDVI_Ratio",35
"Health.score",0.00506330065301469,"NDVI_Ratio",35
"Turbidity",0.00453646688239859,"NDVI_Ratio",35
"DHW_freq_sup4",0.00260123212076517,"NDVI_Ratio",35
"DHW_freq_sup4_1year",0.00110097161004037,"NDVI_Ratio",35
"(Intercept)",0.285687546307758,"NDVI_Ratio",36
"MMM",-0.0512431796145701,"NDVI_Ratio",36
"DHW_collection",-0.0444211297999626,"NDVI_Ratio",36
